D:\xcar\simulator-windows-64\IMG\center_2021_04_13_12_18_40_931.jpg, D:\xcar\simulator-windows-64\IMG\left_2021_04_13_12_18_40_931.jpg, D:\xcar\simulator-windows-64\IMG\right_2021_04_13_12_18_40_931.jpg, 0, 0, 0, 22.44422
D:\xcar\simulator-windows-64\IMG\center_2021_04_13_12_18_41_035.jpg, D:\xcar\simulator-windows-64\IMG\left_2021_04_13_12_18_41_035.jpg, D:\xcar\simulator-windows-64\IMG\right_2021_04_13_12_18_41_035.jpg, 0, 0, 0, 22.21833
D:\xcar\simulator-windows-64\IMG\center_2021_04_13_12_18_41_153.jpg, D:\xcar\simulator-windows-64\IMG\left_2021_04_13_12_18_41_153.jpg, D:\xcar\simulator-windows-64\IMG\right_2021_04_13_12_18_41_153.jpg, 0, 0.0859716, 0, 21.98748
D:\xcar\simulator-windows-64\IMG\center_2021_04_13_12_18_41_257.jpg, D:\xcar\simulator-windows-64\IMG\left_2021_04_13_12_18_41_257.jpg, D:\xcar\simulator-windows-64\IMG\right_2021_04_13_12_18_41_257.jpg, 0, 0.3991269, 0, 22.05491
D:\xcar\simulator-windows-64\IMG\center_2021_04_13_12_18_41_365.jpg, D:\xcar\simulator-windows-64\IMG\left_2021_04_13_12_18_41_365.jpg, D:\xcar\simulator-windows-64\IMG\right_2021_04_13_12_18_41_365.jpg, 0, 0.3809937, 0, 22.50585
D:\xcar\simulator-windows-64\IMG\center_2021_04_13_12_18_41_469.jpg, D:\xcar\simulator-windows-64\IMG\left_2021_04_13_12_18_41_469.jpg, D:\xcar\simulator-windows-64\IMG\right_2021_04_13_12_18_41_469.jpg, 0, 0.06988557, 0, 22.52329
D:\xcar\simulator-windows-64\IMG\center_2021_04_13_12_18_41_583.jpg, D:\xcar\simulator-windows-64\IMG\left_2021_04_13_12_18_41_583.jpg, D:\xcar\simulator-windows-64\IMG\right_2021_04_13_12_18_41_583.jpg, 0, 0, 0, 22.29607
D:\xcar\simulator-windows-64\IMG\center_2021_04_13_12_18_41_697.jpg, D:\xcar\simulator-windows-64\IMG\left_2021_04_13_12_18_41_697.jpg, D:\xcar\simulator-windows-64\IMG\right_2021_04_13_12_18_41_697.jpg, -0.1832118, 0, 0, 22.01883
D:\xcar\simulator-windows-64\IMG\center_2021_04_13_12_18_41_800.jpg, D:\xcar\simulator-windows-64\IMG\left_2021_04_13_12_18_41_800.jpg, D:\xcar\simulator-windows-64\IMG\right_2021_04_13_12_18_41_800.jpg, -0.3111672, 0, 0, 21.68938
D:\xcar\simulator-windows-64\IMG\center_2021_04_13_12_18_41_941.jpg, D:\xcar\simulator-windows-64\IMG\left_2021_04_13_12_18_41_941.jpg, D:\xcar\simulator-windows-64\IMG\right_2021_04_13_12_18_41_941.jpg, 0, 0, 0, 21.38017
